id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1,08:00,08:00,08:00,08:00,08:00,08:00,08:00
2,07:00,07:00,07:00,07:00,07:00,07:00,07:00
3,-,-,-,-,-,09:00,-
4,00:01,00:01,00:01,00:01,00:01,00:01,00:01
5,07:30,07:30,07:30,07:30,13:00,07:30,07:30
6,06:00,06:00,06:00,06:00,06:00,06:00,06:00
7,09:00,09:00,09:00,09:00,08:00,08:00,-
8,-,09:00,09:00,09:00,09:00,08:00,08:00
9,09:00,09:00,09:00,09:00,09:00,09:00,08:00
10,08:30,08:30,08:30,08:30,08:30,08:30,08:30
11,08:00,08:00,08:00,08:00,-,08:00,08:00
12,10:00,10:00,10:00,10:00,10:00,09:00,09:00
13,10:00,10:00,10:00,10:00,10:00,10:00,10:00
14,09:00,09:00,09:00,09:00,09:00,-,-
15,-,08:00,08:00,08:00,14:00,09:00,09:00
16,09:30,09:30,09:30,09:30,09:30,09:00,09:00
17,-,-,-,-,08:00,08:00,08:00
18,11:00,11:00,11:00,11:00,11:00,11:00,11:00
19,-,-,-,-,-,08:00,08:00
20,07:30,07:30,07:30,07:30,07:30,07:30,07:30
21,07:30,07:30,07:30,07:30,07:30,-,-
22,09:00,09:00,09:00,09:00,09:00,09:00,09:00
